Finland,37200,40368,41720,42013,45691,48020,49471,51796,52076,55170,60216,64805,66825,69027,72516,76371,78206,79858,81695,89563,96253,98265,105764,112857,116276,117616,117116,117404,119861,128200,135039,137554,142021,145859,150260,155317,159003,166000,174000,183000,184000,173000,167000,166000,172000,179000,186000,198000,208000,218000,230000,236000,240000,245000,254000,261000,272000,286000,288000,264000,272000,279000,275000,271000,271000,275000
France,427000,454000,466000,479000,502000,531000,558000,592000,607000,624000,668000,705000,752000,791000,844000,885000,930000,973000,1020000,1090000,1150000,1200000,1260000,1330000,1360000,1360000,1410000,1470000,1510000,1560000,1580000,1590000,1630000,1650000,1680000,1700000,1740000,1785039,1863482,1939082,1989882,2010559,2042721,2030206,2077822,2121147,2150588,2200856,2279121,2356773,2448102,2495949,2523865,2544549,2615451,2657500,2720614,2784861,2790300,2708228,2761462,2818880,2828305,2836369,2847048,2869825
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15600,16500,17400,18500,19955,21209,21269,21151,22977,22511,19399,15299,8431,5961,5342,5481,6099,6740,6950,7150,7280,7630,8048,8937,9461,10369,11342,12769,13103,12613,13395,14357,15276,15783,16535,17230
Germany,508430,558412,609771,663542,714557,800387,861401,912071,951710,1030000,1110000,1170000,1220000,1250000,1340000,1410000,1450000,1440000,1520000,1640000,1720000,1770000,1850000,1940000,1940000,1910000,2020000,2070000,2140000,2220000,2250000,2250000,2230000,2270000,2332571,2379793,2435634,2471827,2563863,2656586,2745994,2886267,2941737,2913637,2985164,3035890,3059611,3115446,3176755,3239888,3336596,3390000,3390000,3370000,3410000,3430000,3560000,3680000,3720000,3510000,3650000,3780000,3790000,3800000,3860000,3920000
Ghana,3700,3840,3765,4287,4827,4516,4783,4938,4857,5559,5970,6181,6480,6706,6850,6943,6950,7076,7176,7431,7790,8411,8160,8393,8970,7853,7575,7749,8408,8193,7934,7945,7394,7057,7668,8056,8478,8885,9384,9861,10190,10729,11145,11685,12067,12553,13130,13681,14323,14958,15587,16294,17075,17967,18929,20102,21017,22374,24261,25391,27249,31338,34093,36525,37660,40672
Greece,27100,29500,29700,33800,34800,37500,40700,43300,45300,47000,49000,53300,55300,60900,66000,72200,76600,80800,86100,94700,102000,109000,123000,128000,123000,131000,139000,144000,153000,159000,162000,162000,163000,163000,168000,173000,176000,175000,183000,190000,190000,196000,197000,194000,198000,202000,208000,217000,226000,233000,242000,251000,259000,276000,290000,293000,310000,321000,319000,305000,289000,263000,246000,236000,238000,244000
Guatemala,5200,5270,5380,5580,5680,5820,6350,6710,7020,7370,7550,7870,8150,8928,9342,9749,10288,10709,11650,12200,12898,13617,14617,15609,16604,16928,18178,19597,20577,21547,22357,22502,21708,21149,21257,21128,21154,21906,22800,23700,24400,25300,26500,27500,28700,30100,31000,32300,33900,35200,36500,37400,38800,39800,41000,42400,44700,47500,49000,49300,50700,52800,54400,56400,57800,60100
"Hong Kong",5827,5432,5935,6476,7071,7708,8380,9076,9800,10547,11317,12067,14176,16403,17808,20386,20737,21090,21792,24252,26478,28353,31283,35148,35968,36086,41944,46865,50848,56700,62400,68200,70100,74000,81400,81800,90566,102282,110483,113296,117161,123842,131563,139722,148155,151672,158131,166195,156419,160340,172627,173595,176471,181865,197687,212293,227222,241912,247060,240984,257000,270000,274000,282000,289000,295000
Hungary,35811,39271,40593,41331,42780,46647,44535,48223,51454,53539,56337,59186,61653,65035,68698,69232,73174,77371,78312,80652,80372,83959,85764,90215,92555,94539,94819,100771,103212,103416,104459,105196,108986,107867,110690,107969,110131,111835,113539,110995,103594,91266,88437,87906,90456,91812,91844,94941,98936,102140,106471,110448,115000,120000,126000,131000,136000,137000,138000,129000,130000,132000,130000,132000,137000,141000
Iceland,1480,1430,1590,1630,1780,1941,2030,2030,2170,2240,2350,2340,2530,2790,3080,3300,3580,3540,3340,3430,3680,4160,4420,4720,4990,5020,5320,5790,6140,6440,6810,7100,7250,7100,7390,7630,8110,8800,8800,8810,8910,8890,8590,8710,9020,9030,9460,10200,10900,11300,11900,12300,12400,12700,13700,14573,15190,16667,16858,15990,15500,15872,16080,16652,16964,17388
India,82900,84800,87300,92900,96700,99000,105000,104000,112000,114000,122000,126000,128000,135000,145000,139000,141000,152000,156000,166693,175000,177000,176000,185000,187000,203000,206000,222000,233000,222000,238000,252000,260000,281000,292000,304000,317000,331000,365000,389000,410000,415000,438000,463000,492216,528090,570203,594731,632830,672949,710597,743088,776968,834089,894253,976234,1069885,1173209,1268231,1351237,1477494,1590802,1667379,1745663,1845166,1954030
Indonesia,41319,44399,46500,48813,51857,53282,53985,57678,55600,57988,60450,64412,64341,61875,64161,64801,64813,63300,69500,78100,86300,91000,101000,116000,122000,122000,133048,143423,149971,158133,171734,183542,176788,183871,196561,201402,213233,223738,236561,257839,280760,305827,327909,351694,378212,409301,441300,462040,401390,404565,424471,439936,459731,481708,505942,534743,564159,599955,636034,665475,706894,752774,799645,846133,888648,931000
Iran,24705,24705,24705,24729,24729,24729,26928,30687,34265,37205,40812,44271,45135,50101,53733,60329,66381,73867,84983,96002,106156,119299,138691,150599,163939,171869,201342,198772,175204,160085,137580,133430,154428,174809,177749,182023,164927,162432,153291,159172,175501,197899,215632,208742,204776,208297,225140,233801,241897,247135,255580,266822,286440,310264,329634,343159,365731,392676,393535,408215,430857,431348,405930,399042,409561,418162
Iraq,19596,21320,23574,33117,39368,37761,40387,39995,44639,46521,51929,57906,60786,59689,66861,72936,76796,75013,88338,91336,90983,96607,93041,108659,114479,133526,160686,165095,195174,240069,234876,192255,190648,174070,174501,171757,169974,174814,137876,125688,124081,46034,59476,59476,56514,51419,57887,55652,63993,69434,77071,84009,89887,70291,108360,113128,124620,126337,134686,142510,150403,165766,182826,190527,185957,188403
Ireland,22323,22884,23462,24095,24311,24944,24600,24600,24100,25100,26500,27700,28600,30000,31200,31700,32000,33900,36700,38900,39900,41300,44000,46000,48000,50700,51400,55700,59700,61500,63379,65487,66981,66820,69728,71880,71572,74908,78818,83400,90461,92207,95290,97855,103488,113458,123765,137102,148823,164005,179620,189092,200131,206050,215483,227710,240167,252012,245435,229799,229166,235521,234783,235191,246438,254570
Israel,6635,8619,8991,8884,10576,12010,13078,14212,15234,17158,18286,20284,22287,24649,27065,29600,29900,30700,35400,39800,43100,47800,53700,56500,60300,62300,63100,63100,66200,70300,75200,79100,80500,83300,84100,87000,91100,97700,99600,101000,107144,115422,124378,129498,139117,148303,156894,162970,170028,176259,191987,192200,192082,194151,203962,212811,225112,239220,247595,252309,267000,278000,286000,296000,304000,315618
Italy,328988,353549,380013,407430,428562,453502,474000,502000,529000,562000,592295,642177,692248,741557,770498,787823,828945,887965,962216,1017240,1040085,1059788,1090797,1162156,1216656,1190542,1267906,1304545,1353180,1429944,1480432,1487447,1494261,1510000,1550000,1590000,1640000,1690000,1760000,1810000,1850000,1870000,1890153,1874034,1914345,1969609,1994955,2031580,2064434,2096662,2174452,2213000,2218550,2221937,2257116,2278550,2324267,2360000,2330000,2210000,2240000,2260000,2190000,2160000,2150000,2162991
Jamaica,2120,2290,2480,2820,3150,3472,3817,4373,4442,4691,4998,5140,5232,5403,5829,6297,6573,6827,7177,7711,8634,8634,8894,9708,9343,9341,8775,8591,8652,8498,8030,8243,8353,8547,8475,8083,8217,8850,9105,9727,10261,10346,10518,10725,10820,11089,11107,10997,10863,10970,11046,11194,11303,11717,11872,11979,12323,14429,14326,13690,13487,13716,13639,13715,13787,14018
Japan,258000,290000,323000,347000,367000,398000,428000,460000,486000,531000,600000,673000,733000,795000,887000,939000,1040000,1150000,1300000,1470000,1620000,1700000,1840000,1990000,1964751,2025492,2105998,2198457,2314361,2441287,2510070,2589652,2668818,2730794,2837766,2962740,3048523,3175309,3372020,3534932,3714642,3842237,3875822,3883591,3910000,3988808,4092919,4158225,4074930,4066808,4158615,4173397,4185481,4256011,4356485,4413238,4487950,4586334,4538561,4287716,4487181,4466867,4545203,4618530,4617350,4645054
Jordan,832,883,935,991,1050,995,1366,1401,1541,1657,1763,2123,2181,2302,2703,3013,3098,3423,3296,3594,3210,3283,3388,3566,3883,4152,5162,5498,6653,7259,8639,9047,9716,9910,10763,11139,12150,12480,12352,11044,11000,11200,12800,13400,14100,14900,15200,15700,16200,16800,17500,18400,19500,20300,22000,23800,25700,27800,29800,31500,32200,33045,33921,34881,35959,37290
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98100,96800,95400,100000,99500,100000,102000,101000,109000,109000,107000,95600,90500,82200,71800,65900,66200,67400,66100,67900,74600,84661,92915,101584,111322,122119,135193,147211,152048,153888,165049,177087,185881,196960,205430,209333
Kenya,3188,3883,3453,3367,3759,4042,4266,4406,4454,4562,4738,4623,4871,5117,5614,5678,6408,6740,7227,7677,8238,8761,9214,9692,10170,10129,10537,11503,12539,13011,13737,14053,14901,14994,15255,15900,17100,18100,19200,20000,20900,21200,21000,21100,21600,22600,23500,23600,24400,24900,25000,26200,26300,27100,28400,30100,32000,34100,33900,35000,37700,39300,41600,44100,46500,49200
Kuwait,17955,19463,20630,22677,25262,25855,27758,28745,30164,33270,36161,36484,40685,42876,47077,48118,54044,55336,60507,62159,98535,105376,109523,102413,89324,78534,83597,80401,86200,98032,78067,63290,55857,60292,63452,60759,65930,63272,65481,70382,56306,33216,60722,81218,88227,89440,87023,89198,92461,90808,95062,95268,98143,115143,126933,140400,150951,159995,163963,152361,143161,157778,170885,170137,172349,174934
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5143,5187,5231,5589,5670,5461,5374,5313,5852,5974,6109,5624,4846,4097,3274,3096,3316,3644,3722,3858,4068,4284,4284,4585,4907,4898,5050,5482,5942,6114,6085,6447,6442,7145,7402,7639
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22234,22720,23216,23683,24359,23848,24480,24386,25405,26779,26990,23589,16017,14191,14503,14417,14780,16078,17088,17457,18391,19706,21123,22946,24992,27534,30733,33743,32672,28037,27231,28592,29974,31241,31979,32896
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30887,32200,33700,34100,34600,33700,34900,35700,38500,38200,36000,34000,26700,22400,20200,21300,22400,24200,26000,25800,26700,28500,30400,33600,36000,38900,41732,46359,47577,40529,41185,43704,45381,46859,48232,49693
Luxembourg,7687,7132,7656,7758,7795,8185,8548,8969,9102,9332,9685,10069,10205,10562,11380,11600,11736,11764,12256,13458,13688,14053,14980,16225,16900,15800,16200,16500,17100,17500,17700,17900,17800,18300,19400,20000,21600,22100,24300,26700,27300,29700,30225,31494,32698,33166,33669,35668,37983,41181,44658,45551,47043,47603,49948,52008,54547,58072,58355,55243,58085,59600,59503,60687,61787,63084
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9184,9302,9421,9224,9519,9450,10110,9982,9657,9844,8840,8292,7744,7164,7035,6957,7041,7139,7376,7696,8046,7682,7748,7966,8334,8697,9135,9696,10176,10100,10400,10700,10600,10900,11300,11700
Madagascar,3020,3130,3246,3364,3488,3617,3750,3889,4034,4182,4239,4327,4427,4384,4560,4538,4632,4889,5221,5417,5701,5924,5849,5698,5813,5885,5704,5840,5686,6244,6293,5749,5644,5689,5481,5600,5640,5770,5860,6090,6330,5930,6000,6130,6120,6230,6360,6600,6850,7180,7520,7970,6960,7640,8040,8410,8830,9380,10100,9650,9690,9820,10100,10300,10600,11200
Malawi,420,438,456,475,494,503,545,567,588,609,626,657,657,646,630,715,789,869,860,915,928,1062,1170,1268,1360,1434,1505,1582,1724,1804,1815,1724,1741,1815,1897,2046,2054,2104,2158,2266,2368,2553,2351,2604,2302,2510,2753,2857,2924,2961,3007,2863,2939,3107,3275,3382,3541,3881,4178,4526,4837,4977,5071,5344,5649,5999
Malaysia,9480,8956,9384,9428,10023,10089,10697,10638,10637,11364,12189,13035,13776,14431,15342,16447,17272,17564,19105,20205,21436,23019,24754,28332,30449,30701,34526,37339,40605,43912,47563,50935,53960,57254,61697,61061,61833,65107,70856,77484,84880,92983,101244,111262,121512,133455,146804,157554,145959,154918,168642,169515,178653,188995,201815,212576,224448,238584,250113,246000,265000,278000,294000,308000,326000,341000
Mali,1137,1179,1222,1268,1313,1362,1412,1465,1518,1575,1619,1630,1639,1749,1832,1860,1940,2000,2080,2070,2190,2270,2390,2330,2270,2590,2940,3140,3050,3790,3340,3230,3050,3180,3320,3400,3610,3680,3670,4050,4080,4070,4460,4740,4780,5080,5250,5500,5950,6290,6080,6800,7090,7630,7810,8290,8720,9090,9550,9970,10600,10800,10800,11000,11800,12400
Malta,477,499,523,548,573,590,656,664,706,719,761,754,723,721,737,787,872,933,1026,1092,1230,1260,1334,1389,1529,1828,2139,2399,2667,2947,3155,3259,3334,3313,3345,3431,3564,3711,4023,4352,4626,4915,5150,5380,5680,6040,6270,6600,6940,7260,7760,7800,8040,8240,8280,8590,8750,9100,9400,9170,9493,9707,9950,10220,10583,10784
Mexico,87951,94753,98543,98813,108696,117899,125987,135530,142738,147002,158913,164974,172381,185176,205376,218176,231637,245777,263286,279285,297622,310038,336352,364638,386921,408629,425952,440616,476964,520631,563968,613564,609226,583054,604042,620788,597484,608572,616150,642018,674559,703040,728551,742762,775557,727729,765231,817052,858153,890392,949078,948766,956090,969382,1010193,1041262,1093079,1128329,1143899,1089636,1146288,1190304,1237164,1250407,1276976,1315285
